Entity,Year,CO2_tons_per_capita,GDP_per_capita,total_population
Albania,2000,0.9909,4869.447645052876,3071856.0
Algeria,2000,2.8626,9375.664009655316,30533827.0
Angola,2000,0.6973,2266.9476835322025,13926373.0
Anguilla,2000,8.0373,24863.071422699228,11068.0
Argentina,2000,3.8535,14189.448273738619,36930709.0
Armenia,2000,1.1377,2888.8709642256194,3076098.0
Aruba,2000,26.3873,44042.683384546486,90271.0
Australia,2000,17.2123,35349.51534891126,19164351.0
Austria,2000,7.7804,36975.52420951538,8004712.0
Azerbaijan,2000,3.6333,2641.589278690429,8110723.0
Bahamas,2000,5.6151,27968.159127415736,297651.0
Bahrain,2000,29.2499,24285.14579396946,638193.0
Bangladesh,2000,0.2202,1361.6996587747728,129592275.0
Barbados,2000,4.4407,22694.401869709796,267511.0
Belarus,2000,5.3582,8031.1443842502895,10057810.0
Belgium,2000,11.3403,35451.89820594875,10175684.0
Belize,2000,1.5781,6797.714514743776,250512.0
Benin,2000,0.2569,1455.1437025874013,6517810.0
Bermuda,2000,8.2575,39397.44179818654,62834.0
Bhutan,2000,0.6973,4234.999287414899,571262.0
Bolivia,2000,1.3212,3109.9258172270756,8307248.0
Bosnia and Herzegovina,2000,3.7434,5547.737265738577,3693698.0
Botswana,2000,2.1653,10263.175158242153,1757925.0
Brazil,2000,1.8717,8627.626510895834,174425387.0
British Virgin Islands,2000,5.1013,36993.38070581584,20499.0
Brunei,2000,14.4231,52228.96755333472,327036.0
Bulgaria,2000,5.4316,8713.808752504528,8006158.0
Burkina Faso,2000,0.0734,1063.7201981838905,12294012.0
Burundi,2000,0.0367,590.9563738820315,6374347.0
Cambodia,2000,0.1468,1312.5200694043365,12446949.0
Cameroon,2000,0.2202,2288.622078072351,15678269.0
Canada,2000,17.4325,38012.36685556592,30667365.0
Cape Verde,2000,0.4771,3327.769818981104,437238.0
Cayman Islands,2000,11.6339,65566.30902715305,40195.0
Central African Republic,2000,0.0734,929.6103939666773,3701607.0
Chad,2000,0.0367,1204.062375911223,8222327.0
Chile,2000,3.8168,11004.99796906961,15419820.0
China,2000,2.6791,4117.929693477359,1269116737.0
Colombia,2000,1.4680000000000002,7026.30712500228,39764166.0
Comoros,2000,0.1835,1528.0654674094412,562469.0
Congo,2000,0.3303,2249.3737927226625,3135773.0
Costa Rica,2000,1.3946,9826.278874078133,3919180.0
Cote d'Ivoire,2000,0.4037,2159.910957160054,16581653.0
Croatia,2000,4.2939,13933.823884350042,4505533.0
Cyprus,2000,7.34,26852.78799019608,943294.0
Czech Republic,2000,12.110999999999999,20803.108992878308,10242890.0
Denmark,2000,9.6154,36926.196002534896,5339501.0
Djibouti,2000,0.4771,2589.473027325424,731930.0
Dominica,2000,1.4680000000000002,8690.03749420333,69672.0
Dominican Republic,2000,2.3121,7736.376093517138,8591967.0
Ecuador,2000,1.6882,5130.739097996325,12345023.0
Egypt,2000,2.0919,4822.662097064452,67648419.0
El Salvador,2000,0.9542,2336.3451890461124,5940305.0
Equatorial Guinea,2000,0.8808,4013.835936528765,520380.0
Estonia,2000,10.8632,12503.72716462554,1370749.0
Ethiopia,2000,0.0367,529.4943988061575,65577897.0
Fiji,2000,1.0276,6051.765720361418,811718.0
Finland,2000,10.1292,33441.501028111365,5173370.0
France,2000,6.1289,32660.70829517034,59047795.0
Gabon,2000,3.8168,9841.75425841096,1235274.0
Gambia,2000,0.1835,1765.1690049307776,1297084.0
Georgia,2000,0.9542,2931.0324479123524,4745765.0
Germany,2000,10.0925,34148.8022755711,82349027.0
Ghana,2000,0.3303,2308.705707622005,19165490.0
Greece,2000,8.3309,23850.62128264734,10986883.0
Grenada,2000,1.8717,7669.737075778637,101522.0
Guatemala,2000,0.8808,4799.706777765801,11237101.0
Guinea,2000,0.1835,1549.2053924647962,8344486.0
Guinea-Bissau,2000,0.1101,1465.55355445573,1240655.0
Haiti,2000,0.1468,1757.9067842019058,8645371.0
Honduras,2000,0.8074,3205.840444039641,6218151.0
Hungary,2000,5.4683,15862.586319223978,10210545.0
Iceland,2000,7.707000000000001,38760.16268971319,281210.0
India,2000,0.9909,2009.1388504795082,1053898107.0
Indonesia,2000,1.2478,3887.67797378192,213395411.0
Iran,2000,5.6885,7469.509387098224,65342319.0
Iraq,2000,3.0461,5023.336792083192,23857458.0
Ireland,2000,10.8632,36245.26691403055,3803780.0
Israel,2000,10.0191,33204.31011733021,6014953.0
Italy,2000,7.9272,33787.473764408016,56986329.0
Jamaica,2000,4.0003,5819.485006196888,2581648.0
Japan,2000,9.7255,33155.532821888395,125720310.0
Jordan,2000,3.2296,4069.1789304497815,4827096.0
Kazakhstan,2000,7.8905,6235.40470622365,14956694.0
Kenya,2000,0.3303,1960.2445861319607,31253701.0
Kuwait,2000,27.6351,39164.74634225979,1940786.0
Kyrgyzstan,2000,0.9542,2076.5311544496813,4954850.0
Latvia,2000,2.6791,10707.131857950792,2384972.0
Lebanon,2000,4.0737,7317.346489245468,3742329.0
Lesotho,2000,0.9542,1696.135532970141,1963878.0
Liberia,2000,0.1468,521.4228201527687,2847290.0
Lithuania,2000,3.4865,11684.284337189394,3500028.0
Luxembourg,2000,18.9372,71309.54512739994,435491.0
Macedonia,2000,6.0188,8093.6768625646155,2009091.0
Madagascar,2000,0.1101,1010.4085963821667,15364272.0
Malawi,2000,0.0734,863.2602830851773,11228756.0
Malaysia,2000,5.3582,13391.591285864404,23414909.0
Maldives,2000,1.6515,7782.0181220776685,273236.0
Mali,2000,0.0734,1006.0997575535947,11295324.0
Malta,2000,5.2114,24405.610459766776,397420.0
Mauritania,2000,0.4404,2060.434211376157,2642743.0
Mauritius,2000,2.2387,13779.78161179706,1196027.0
