Id,Geography,Estimate_Total,White_alone,Black_or_African_American_alone,American_Indian_and_Alaska_Native_alone,Asian_alone,Native_Hawaiian_and_Other_Pacific_Islander_alone,Some_other_race_alone,Two_or_more_races,Two_or_more_races_-_Two_races_including_Some_other_race,"Two_or_more_races_-_Two_races_excluding_Some_other_race,_and_three_or_more_races"
01001,"Autauga County, Alabama",55049,42311,10196,226,444,31,764,1077,70,1007
01003,"Baldwin County, Alabama",199510,172441,18594,1355,1338,0,1766,4016,908,3108
01005,"Barbour County, Alabama",26614,12430,12756,46,129,0,1099,154,6,148
01007,"Bibb County, Alabama",22572,17370,4788,81,14,0,8,311,0,311
01009,"Blount County, Alabama",57704,55073,905,201,92,0,501,932,28,904
01011,"Bullock County, Alabama",10552,2301,7967,84,84,0,1,115,0,115
01013,"Butler County, Alabama",20280,10876,8875,15,203,0,44,267,0,267
01015,"Calhoun County, Alabama",115883,86777,23791,382,1079,6,1221,2627,133,2494
01017,"Chambers County, Alabama",34018,19417,13779,78,312,0,42,390,18,372
01019,"Cherokee County, Alabama",25897,24156,1209,152,109,0,2,269,6,263
01021,"Chilton County, Alabama",43817,36740,4418,134,191,0,1882,452,20,432
01023,"Choctaw County, Alabama",13287,7495,5658,2,6,0,2,124,0,124
01025,"Clarke County, Alabama",24847,13253,11304,8,114,33,0,135,3,132
01027,"Clay County, Alabama",13483,11177,1993,124,0,0,68,121,11,110
01029,"Cleburne County, Alabama",14991,14176,354,21,86,0,58,296,26,270
01031,"Coffee County, Alabama",50991,38945,8766,421,623,0,528,1708,14,1694
01033,"Colbert County, Alabama",54377,43379,8532,328,255,31,605,1247,168,1079
01035,"Conecuh County, Alabama",12697,6593,5880,19,14,0,1,190,0,190
01037,"Coosa County, Alabama",10864,7204,3516,8,0,0,0,136,0,136
01039,"Covington County, Alabama",37729,31881,4945,130,176,23,144,430,9,421
01041,"Crenshaw County, Alabama",13896,9935,3312,123,232,0,180,114,0,114
01043,"Cullman County, Alabama",81316,77946,899,425,497,19,634,896,41,855
01045,"Dale County, Alabama",49607,36921,9756,295,508,11,611,1505,71,1434
01047,"Dallas County, Alabama",41426,11884,28798,91,163,37,92,361,36,325
01049,"DeKalb County, Alabama",70937,61858,1082,979,214,497,4713,1594,266,1328
01051,"Elmore County, Alabama",80957,61018,17296,210,457,0,634,1342,73,1269
01053,"Escambia County, Alabama",37875,23453,12267,1317,40,67,224,507,58,449
01055,"Etowah County, Alabama",103363,84024,15931,475,699,67,584,1583,59,1524
01057,"Fayette County, Alabama",16783,14371,2104,0,45,0,0,263,0,263
01059,"Franklin County, Alabama",31573,28133,1427,313,102,18,1244,336,133,203
01061,"Geneva County, Alabama",26765,23235,2570,126,103,0,178,553,3,550
01063,"Greene County, Alabama",8587,1472,6977,35,14,0,0,89,54,35
01065,"Hale County, Alabama",15159,6062,8843,49,16,9,147,33,33,0
01067,"Henry County, Alabama",17187,12113,4793,0,0,0,88,193,18,175
01069,"Houston County, Alabama",103891,72332,27680,427,866,27,648,1911,119,1792
01071,"Jackson County, Alabama",52608,47949,1733,448,196,28,591,1663,32,1631
01073,"Jefferson County, Alabama",659096,345499,280248,1467,9932,198,12185,9567,641,8926
01075,"Lamar County, Alabama",14066,12315,1584,42,0,0,81,44,0,44
01077,"Lauderdale County, Alabama",92641,80627,9126,371,629,15,218,1655,148,1507
01079,"Lawrence County, Alabama",33433,26108,3800,1653,31,0,0,1841,126,1715
01081,"Lee County, Alabama",153947,107682,35770,203,5576,27,2423,2266,110,2156
01083,"Limestone County, Alabama",90257,73517,11502,581,1125,30,1271,2231,103,2128
01085,"Lowndes County, Alabama",10565,2612,7886,8,0,0,0,59,0,59
01087,"Macon County, Alabama",19684,3106,16162,65,44,0,175,132,12,120
01089,"Madison County, Alabama",349973,240861,84657,2094,8574,396,3355,10036,550,9486
01091,"Marengo County, Alabama",20066,9167,10587,50,43,0,150,69,0,69
01093,"Marion County, Alabama",30239,28242,1012,115,98,0,174,598,26,572
01095,"Marshall County, Alabama",94534,87423,1981,567,556,20,2324,1663,237,1426
01097,"Mobile County, Alabama",414291,246794,146306,2568,8140,49,3207,7227,458,6769
01099,"Monroe County, Alabama",21975,12065,9405,251,50,0,0,204,0,204
01101,"Montgomery County, Alabama",227392,85928,129205,388,5109,44,2830,3888,671,3217
01103,"Morgan County, Alabama",119555,97880,14557,849,802,5,2582,2880,121,2759
01105,"Perry County, Alabama",9856,2962,6760,4,18,0,47,65,0,65
01107,"Pickens County, Alabama",20042,11254,8387,24,12,9,184,172,37,135
01109,"Pike County, Alabama",33277,19408,12514,215,704,2,19,415,56,359
01111,"Randolph County, Alabama",22615,17452,4429,74,51,44,165,400,6,394
01113,"Russell County, Alabama",58636,30392,24789,216,435,128,603,2073,457,1616
01115,"St. Clair County, Alabama",86576,75738,8156,265,741,0,715,961,99,862
01117,"Shelby County, Alabama",205951,167257,23898,446,4088,67,6873,3322,335,2987
01119,"Sumter County, Alabama",13285,3280,9523,41,375,0,18,48,6,42
01121,"Talladega County, Alabama",81057,52390,25996,253,442,29,643,1304,100,1204
01123,"Tallapoosa County, Alabama",40958,28778,11248,144,208,0,292,288,25,263
01125,"Tuscaloosa County, Alabama",202471,132344,62793,287,3044,29,1870,2104,62,2042
01127,"Walker County, Alabama",65593,59932,3791,36,302,0,109,1423,15,1408
01129,"Washington County, Alabama",16909,11082,4189,1341,110,0,79,108,37,71
01131,"Wilcox County, Alabama",11119,3050,8000,7,0,0,62,0,0,0
01133,"Winston County, Alabama",24013,23191,98,166,84,12,33,429,23,406
02013,"Aleutians East Borough, Alaska",3299,630,231,1119,974,36,134,175,20,155
02016,"Aleutians West Census Area, Alaska",5714,1763,315,745,2086,143,346,316,74,242
02020,"Anchorage Municipality, Alaska",299321,192329,16938,20963,26756,6797,6187,29351,1760,27591
02050,"Bethel Census Area, Alaska",17885,1976,135,14651,161,67,75,820,11,809
02060,"Bristol Bay Borough, Alaska",942,525,3,302,11,2,13,86,0,86
02068,"Denali Borough, Alaska",2125,1817,21,66,72,0,4,145,0,145
02070,"Dillingham Census Area, Alaska",4980,893,12,3596,108,1,27,343,0,343
02090,"Fairbanks North Star Borough, Alaska",100150,76617,4183,6547,3037,594,925,8247,93,8154
02100,"Haines Borough, Alaska",2528,1970,1,123,85,5,12,332,0,332
